Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,stato,provincia,comune,indirizzo,etichetta,indirizzo_completo,Latitudine,Longitudine
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FONTANELLA,ALTRI ENTI DEL TERZO SETTORE,BRAMBILLA,MAURO,I,BG,FONTANELLA,PIAZZA 26 APRILE,AE,"PIAZZA 26 APRILE,FONTANELLA,BG,I",45.47013882360759,9.80866292658468
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FONTENO,ALTRI ENTI DEL TERZO SETTORE,DONDA,FABIO,I,BG,FONTENO,VIA CAMPELLO,AE,"VIA CAMPELLO,FONTENO,BG,I",45.7566027050099,10.016433979292898
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI FORCOLA,ALTRI ENTI DEL TERZO SETTORE,BERTOLINI,FAUSTINO,I,SO,FORCOLA,VIA ROMA,AE,"VIA ROMA,FORCOLA,SO,I",46.15865194721116,9.663319243636419
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GALLARATE,ALTRI ENTI DEL TERZO SETTORE,CASSANI,Andrea,I,VA,GALLARATE,VIA VERDI,AE,"VIA VERDI,GALLARATE,VA,I",45.66083601633929,8.792809423700943
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GARDONE VAL TROMPIA,ALTRI ENTI DEL TERZO SETTORE,LANCELOTTI,PIERANGELO,I,BS,GARDONE VAL TROMPIA,VIA MAZZINI,AE,"VIA MAZZINI,GARDONE VAL TROMPIA,BS,I",45.68847261439503,10.18303598710501
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GAVERINA TERME,ALTRI ENTI DEL TERZO SETTORE,AMAGLIO,ALEX,I,BG,GAVERINA TERME,VIA SAN VITTORE MARTIRE,AE,"VIA SAN VITTORE MARTIRE,GAVERINA TERME,BG,I",45.758323083814446,9.884244751195315
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GAZZADA SCHIANNO,ALTRI ENTI DEL TERZO SETTORE,FRATTINI,STEFANO,I,VA,GAZZADA SCHIANNO,VIA MATTEOTTI,AE,"VIA MATTEOTTI,GAZZADA SCHIANNO,VA,I",45.7820383797446,8.830345290262313
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GEMONIO,ALTRI ENTI DEL TERZO SETTORE,LUCCHINI,SAMUEL,I,VA,GEMONIO,via rocco cellina n.20,AE,"via rocco cellina n.20,GEMONIO,VA,I",45.87855138158358,8.676911382319844
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GERENZANO,ALTRI ENTI DEL TERZO SETTORE,CASTAGNOLI,STEFANIA,I,VA,GERENZANO,VIA DUCA DEGLI ABRUZZI,AE,"VIA DUCA DEGLI ABRUZZI,GERENZANO,VA,I",45.63937575094463,8.999628328000767
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GESSATE,ALTRI ENTI DEL TERZO SETTORE,MANTEGAZZA,LUCIA,I,MI,GESSATE,PIAZZA MUNICIPIO,AE,"PIAZZA MUNICIPIO,GESSATE,MI,I",45.5536293,9.4357545
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE  DEL COMUNE DI GIUSSANO ,ALTRI ENTI DEL TERZO SETTORE,CITTERIO,MARCO,I,MB,GIUSSANO,"PIAZZALE ALDO MORO,1",AE,"PIAZZALE ALDO MORO,1,GIUSSANO,MB,I",45.69108600993226,9.205196587930061
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GODIASCO SALICE TERME,ALTRI ENTI DEL TERZO SETTORE,RIVA,Fabio,I,PV,GODIASCO SALICE TERME,PIAZZA B. ALESINA,AE,"PIAZZA B. ALESINA,GODIASCO SALICE TERME,PV,I",44.89640597285633,9.05639553219657
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GORLA MAGGIORE,ALTRI ENTI DEL TERZO SETTORE,ZAPPAMIGLIO,PIETRO,I,VA,GORLA MAGGIORE,PIAZZA MARTIRI DELLA LIBERTA',AE,"PIAZZA MARTIRI DELLA LIBERTA',GORLA MAGGIORE,VA,I",45.663991185697334,8.890744098360612
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GORLE,ALTRI ENTI DEL TERZO SETTORE,TESTA,GIOVANNI,I,BG,GORLE,PIAZZA PAPA GIOVANNI XXIII,AE,"PIAZZA PAPA GIOVANNI XXIII,GORLE,BG,I",45.70404801007656,9.720138344357297
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GRANTOLA,ALTRI ENTI DEL TERZO SETTORE,STOCCO,RENZO,I,VA,GRANTOLA,VIA SOLFERINO,AE,"VIA SOLFERINO,GRANTOLA,VA,I",45.95043848909956,8.774621422540932
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GREZZAGO,ALTRI ENTI DEL TERZO SETTORE,PULICIA,NATALE,I,MI,GREZZAGO,P.ZZA DELLA REPUBBLICA,AE,"P.ZZA DELLA REPUBBLICA,GREZZAGO,MI,I",45.590675,9.494187
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GROSIO,ALTRI ENTI DEL TERZO SETTORE,PINI,GIAN ANTONIO,I,SO,GROSIO,VIA ROMA,AE,"VIA ROMA,GROSIO,SO,I",46.301583690947375,10.279688463386314
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI GROSOTTO,ALTRI ENTI DEL TERZO SETTORE,SALIGARI,GIUSEPPE,I,SO,GROSOTTO,VIA ROMA,AE,"VIA ROMA,GROSOTTO,SO,I",46.27974230969566,10.257998621560995
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI INARZO,ALTRI ENTI DEL TERZO SETTORE,MONTONATI,FABRIZIO,I,VA,INARZO,VIA PATRIOTI,AE,"VIA PATRIOTI,INARZO,VA,I",45.78657359043905,8.738736657062612
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI ISPRA,ALTRI ENTI DEL TERZO SETTORE,DI SPIRITO,ROSALINA,I,VA,ISPRA,VIA MILITE IGNOTO,AE,"VIA MILITE IGNOTO,ISPRA,VA,I",45.81658097520594,8.612473670512454
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LA VALLETTA BRIANZA,ALTRI ENTI DEL TERZO SETTORE,PANZERI,MARCO,I,LC,LA VALLETTA BRIANZA,VIA MONTEGRAPPA,AE,"VIA MONTEGRAPPA,LA VALLETTA BRIANZA,LC,I",45.73665187565065,9.356755397484049
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LAVENO MOMBELLO,ALTRI ENTI DEL TERZO SETTORE,SANTAGOSTINO,LUCA CARLO MARIA,I,VA,LAVENO-MOMBELLO,VIA ROMA,AE,"VIA ROMA,LAVENO-MOMBELLO,VA,I",45.91265429450927,8.617543745366573
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LEGGIUNO,ALTRI ENTI DEL TERZO SETTORE,PARMIGIANI,GIOVANNI,I,VA,LEGGIUNO,PIAZZA MARCONI,AE,"PIAZZA MARCONI,LEGGIUNO,VA,I",45.87509266462546,8.620697584458885
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LIVRAGA ETS,ALTRI ENTI DEL TERZO SETTORE,FERRARI,GIUSEPPE,I,LO,LIVRAGA,VIA DANTE,AE,"VIA DANTE,LIVRAGA,LO,I",45.19274782207344,9.545928793328407
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LOCATE DI TRIULZI,ALTRI ENTI DEL TERZO SETTORE,SERRANO',DAVIDE,I,MI,LOCATE DI TRIULZI,VIA ROMA,AE,"VIA ROMA,LOCATE DI TRIULZI,MI,I",45.35806513930435,9.221865222135794
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LOCATE VARESINO ,ALTRI ENTI DEL TERZO SETTORE,CASTIGLIONI,LUCA,I,CO,LOCATE VARESINO,VIA PARINI,AE,"VIA PARINI,LOCATE VARESINO,CO,I",45.68979952403614,8.930793787381399
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LODI ETS,ALTRI ENTI DEL TERZO SETTORE,FUREGATO,ANDREA,I,LO,LODI,PIAZZA BROLETTO,AE,"PIAZZA BROLETTO,LODI,LO,I",45.314432584197306,9.502926033767304
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LONATE CEPPINO,ALTRI ENTI DEL TERZO SETTORE,DALLA POZZA,CLARA,I,VA,LONATE CEPPINO,PIAZZA DIAZ,AE,"PIAZZA DIAZ,LONATE CEPPINO,VA,I",45.70459146053206,8.87622613059816
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI LOZZA,ALTRI ENTI DEL TERZO SETTORE,ACCHINI,MATTEO,I,VA,LOZZA,PIAZZA ROMA,AE,"PIAZZA ROMA,LOZZA,VA,I",45.77515555581783,8.856868706111257
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MACCAGNO CON PINO E VEDDASCA,ALTRI ENTI DEL TERZO SETTORE,VARGIU,IVAN,I,VA,MACCAGNO CON PINO E VEDDASCA,VIA MAZZINI,AE,"VIA MAZZINI,MACCAGNO CON PINO E VEDDASCA,VA,I",46.1012897466394,8.741037327365012
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MAGENTA,ALTRI ENTI DEL TERZO SETTORE,DEL GOBBO,LUCA,I,MI,MAGENTA,PIAZZA FORMENTI,AE,"PIAZZA FORMENTI,MAGENTA,MI,I",45.46590056427028,8.88359344750598
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MAGHERNO ETS,ALTRI ENTI DEL TERZO SETTORE,AMATO,GIOVANNI,I,PV,MAGHERNO,VIA ROMA,AE,"VIA ROMA,MAGHERNO,PV,I",45.20470554251443,9.340974241188249
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MAGNAGO,ALTRI ENTI DEL TERZO SETTORE,CANDIANI,DARIO EUGENIO LUIGI,I,MI,MAGNAGO,PIAZZA ITALIA,AE,"PIAZZA ITALIA,MAGNAGO,MI,I",45.579910995918425,8.801218842232744
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MALEO,ALTRI ENTI DEL TERZO SETTORE,SGUAZZI,DANTE,I,LO,MALEO,PIAZZA XXV APRILE,AE,"PIAZZA XXV APRILE,MALEO,LO,I",45.16789769575705,9.764674662810359
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MALNATE,ALTRI ENTI DEL TERZO SETTORE,BELLIFEMINE,MARIA IRENE,I,VA,MALNATE,PIAZZA VITTORIO VENETO,AE,"PIAZZA VITTORIO VENETO,MALNATE,VA,I",45.7993239552156,8.8805329920179
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MANTELLO,ALTRI ENTI DEL TERZO SETTORE,BONETTI,GIACOMO,I,SO,MANTELLO,VIA SORIATE,AE,"VIA SORIATE,MANTELLO,SO,I",46.15263409282729,9.49136293360961
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MARCHIROLO,ALTRI ENTI DEL TERZO SETTORE,SCHIPANI,EMANUELE MARIA,I,VA,MARCHIROLO,VIA DANTE,AE,"VIA DANTE,MARCHIROLO,VA,I",45.95354414205957,8.836384785774499
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MARIANO COMENSE,ALTRI ENTI DEL TERZO SETTORE,ALBERTI,GIOVANNI,I,CO,MARIANO COMENSE,PIAZZALE CONSOLE TEODORO MANLIO,AE,"PIAZZALE CONSOLE TEODORO MANLIO,MARIANO COMENSE,CO,I",45.698371158338155,9.179985187897822
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MOGGIO,ALTRI ENTI DEL TERZO SETTORE,COLOMBO,MARIANGELA,I,LC,MOGGIO,PIAZZA FONTANA,AE,"PIAZZA FONTANA,MOGGIO,LC,I",45.931746510813824,9.488121776432601
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MOLTENO,ALTRI ENTI DEL TERZO SETTORE,CHIARELLA,GIUSEPPE,I,LC,MOLTENO,VIA SAN GIORGIO,AE,"VIA SAN GIORGIO,MOLTENO,LC,I",45.777626968795,9.304635982180658
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MONTEGRINO VALTRAVAGLIA,ALTRI ENTI DEL TERZO SETTORE,DE AMBROSI,FABIO,I,VA,MONTEGRINO VALTRAVAGLIA,VIA VITTORIO VENETO,AE,"VIA VITTORIO VENETO,MONTEGRINO VALTRAVAGLIA,VA,I",45.97063337017727,8.770819375909173
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MONTICHIARI,ALTRI ENTI DEL TERZO SETTORE,TOGNI,MARCO,I,BS,MONTICHIARI,PIAZZA SENATORE MARIO PEDINI,AE,"PIAZZA SENATORE MARIO PEDINI,MONTICHIARI,BS,I",45.41813528717459,10.403255620227782
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MONVALLE,ALTRI ENTI DEL TERZO SETTORE,MARIOTTO,GIANNI,I,VA,MONVALLE,P.ZZA MARCONI,AE,"P.ZZA MARCONI,MONVALLE,VA,I",45.85805849194864,8.632340057753764
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MORNAGO,ALTRI ENTI DEL TERZO SETTORE,TAMBORINI,DAVIDE,I,VA,MORNAGO,PIAZZA LIBERTA',AE,"PIAZZA LIBERTA',MORNAGO,VA,I",45.747306368196064,8.752772258013849
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MOZZATE ,ALTRI ENTI DEL TERZO SETTORE,CICCOZZI,CLEMENTE,I,CO,MOZZATE,PIAZZA CORNAGGIA,AE,"PIAZZA CORNAGGIA,MOZZATE,CO,I",45.675153568918425,8.955322883057443
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI MULAZZANO ETS,ALTRI ENTI DEL TERZO SETTORE,GIUDICI,SILVIA,I,LO,MULAZZANO,PIAZZA DEL COMUNE,AE,"PIAZZA DEL COMUNE,MULAZZANO,LO,I",45.37309315771475,9.39809238510118
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI NEMBRO,ALTRI ENTI DEL TERZO SETTORE,RAVASIO,GIANFRANCO,I,BG,NEMBRO,VIA ROMA,AE,"VIA ROMA,NEMBRO,BG,I",45.739359753639725,9.745199354702434
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI NIARDO,ALTRI ENTI DEL TERZO SETTORE,MARKUS,IVAN,I,BS,NIARDO,P.LE DONATORI DI SANGUE,AE,"P.LE DONATORI DI SANGUE,NIARDO,BS,I",45.97891048024433,10.333462121582304
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI NOVATE MILANESE,ALTRI ENTI DEL TERZO SETTORE,PALLADINO,GIAN MARIA,I,MI,NOVATE MILANESE,VIA VITTORIO VENETO,AE,"VIA VITTORIO VENETO,NOVATE MILANESE,MI,I",45.531378,9.134811
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI OLGIATE OLONA,ALTRI ENTI DEL TERZO SETTORE,MONTANO,GIOVANNI,I,VA,OLGIATE OLONA,VIA LUIGIA GREPPI,AE,"VIA LUIGIA GREPPI,OLGIATE OLONA,VA,I",45.6287446077814,8.88877637143978
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI ORINO,ALTRI ENTI DEL TERZO SETTORE,MOIA,CESARE GIUSEPPE,I,VA,ORINO,PIAZZA XI FEBBRAIO,AE,"PIAZZA XI FEBBRAIO,ORINO,VA,I",45.88197625575205,8.715960989320692
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI OSPITALETTO,ALTRI ENTI DEL TERZO SETTORE,TRECANI,LAURA,I,BS,OSPITALETTO,VIA MONSIGNOR GIROLAMO RIZZI,AE,"VIA MONSIGNOR GIROLAMO RIZZI,OSPITALETTO,BS,I",45.562272102777044,10.07260062277032
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PAITONE,ALTRI ENTI DEL TERZO SETTORE,MAESTRI,ALBERTO,I,BS,PAITONE,VIA SANTA GIULIA,AE,"VIA SANTA GIULIA,PAITONE,BS,I",45.55309809954902,10.400956623798127
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PALAZZOLO SULL'OGLIO,ALTRI ENTI DEL TERZO SETTORE,COSSANDI,GIANMARCO,I,BS,PALAZZOLO SULL'OGLIO,VIA XX SETTEMBRE,AE,"VIA XX SETTEMBRE,PALAZZOLO SULL'OGLIO,BS,I",45.59932387106406,9.884770021691097
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PALOSCO,ALTRI ENTI DEL TERZO SETTORE,MAZZA,MARIO,I,BG,PALOSCO,PIAZZA CASTELLO,AE,"PIAZZA CASTELLO,PALOSCO,BG,I",45.58395834498239,9.835856552172988
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PARATICO,ALTRI ENTI DEL TERZO SETTORE,TENGATTINI,CARLO,I,BS,PARATICO,VIA DELL' ASSUNTA,AE,"VIA DELL' ASSUNTA,PARATICO,BS,I",45.66130865023803,9.955467805982666
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PAVIA,ALTRI ENTI DEL TERZO SETTORE,LISSIA,MICHELE,I,PV,PAVIA,VIA RESISTENZA,AE,"VIA RESISTENZA,PAVIA,PV,I",45.17959749883361,9.166246655294026
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PERTICA ALTA,ALTRI ENTI DEL TERZO SETTORE,FLOCCHINI,GIOVANMARIA,I,BS,PERTICA ALTA,VIA PROVINCIALE,AE,"VIA PROVINCIALE,PERTICA ALTA,BS,I",45.727887018885596,10.363764571786103
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PIOLTELLO,ALTRI ENTI DEL TERZO SETTORE,COSCIOTTI,IVONNE,I,MI,PIOLTELLO,VIA CATTANEO,AE,"VIA CATTANEO,PIOLTELLO,MI,I",45.4979076132813,9.327401309552968
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI POGNANO,ALTRI ENTI DEL TERZO SETTORE,VANOLI,GIUSEPPE,I,BG,POGNANO,VIA LEONARDO DA VINCI,AE,"VIA LEONARDO DA VINCI,POGNANO,BG,I",45.58358239619401,9.646362522373408
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PONTIROLO NUOVO,ALTRI ENTI DEL TERZO SETTORE,BERTOCCHI,ERIKA,I,BG,PONTIROLO NUOVO,VIA PAPA GIOVANNI XXIII,AE,"VIA PAPA GIOVANNI XXIII,PONTIROLO NUOVO,BG,I",45.569159515929364,9.568929424978613
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI PORTALBERA,ALTRI ENTI DEL TERZO SETTORE,GRAMEGNA,MAURIZIO,I,PV,PORTALBERA,VIA MAZZINI,AE,"VIA MAZZINI,PORTALBERA,PV,I",45.099349154750186,9.321440741344324
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI RANCIO VALCUVIA,ALTRI ENTI DEL TERZO SETTORE,CASTOLDI,SIMONE ELIGIO,I,VA,RANCIO VALCUVIA,PIAZZA DON LUIGI MALCOTTI,AE,"PIAZZA DON LUIGI MALCOTTI,RANCIO VALCUVIA,VA,I",45.91617800704564,8.770435564743066
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI RANCO,ALTRI ENTI DEL TERZO SETTORE,BROVELLI,FEDERICO,I,VA,RANCO,PIAZZA PARROCCHIALE,AE,"PIAZZA PARROCCHIALE,RANCO,VA,I",45.79718904301229,8.571212472020722
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI REMEDELLO,ALTRI ENTI DEL TERZO SETTORE,FERRARI,SIMONE,I,BS,REMEDELLO,PIAZZA BONSIGNORI,AE,"PIAZZA BONSIGNORI,REMEDELLO,BS,I",45.278963907575786,10.372377083121249
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI RETORBIDO,ALTRI ENTI DEL TERZO SETTORE,FRATTINI,ENRICO,I,PV,RETORBIDO,PIAZZA ROMA,AE,"PIAZZA ROMA,RETORBIDO,PV,I",44.949386256209486,9.03668097735743
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI RIVA DI SOLTO,ALTRI ENTI DEL TERZO SETTORE,LAZZARI,LORENZO,I,BG,RIVA DI SOLTO,VIA PAPA GIOVANNI XXIII,AE,"VIA PAPA GIOVANNI XXIII,RIVA DI SOLTO,BG,I",45.77331826885037,10.03732607085492
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI RIVANAZZANO TERME,ALTRI ENTI DEL TERZO SETTORE,ZELASCHI,ALICE,I,PV,RIVANAZZANO TERME,PIAZZA CORNAGGIA,AE,"PIAZZA CORNAGGIA,RIVANAZZANO TERME,PV,I",44.930436482896596,9.015455501327821
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI RODANO,ALTRI ENTI DEL TERZO SETTORE,CORAZZO,RODOLFO,I,MI,RODANO,VIA TURATI,AE,"VIA TURATI,RODANO,MI,I",45.474411595343554,9.352857681104672
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI ROGNO,ALTRI ENTI DEL TERZO SETTORE,MOLINARI,CRISTIAN,I,BG,ROGNO,PIAZZA DRUSO,AE,"PIAZZA DRUSO,ROGNO,BG,I",45.857555285038714,10.133644617928416
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI ROMAGNESE,ALTRI ENTI DEL TERZO SETTORE,ACHILLE,MANUEL,I,PV,ROMAGNESE,VIA CASTELLO,AE,"VIA CASTELLO,ROMAGNESE,PV,I",44.837925053775336,9.328978054063413
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE  DEL COMUNE DI RONCELLO,ALTRI ENTI DEL TERZO SETTORE,PULICI,CRISTIAN,I,MB,RONCELLO,PIAZZA DON CARLO GNOCCHI,AE,"PIAZZA DON CARLO GNOCCHI,RONCELLO,MB,I",45.5908811752737,9.188725778448983
GRUPPO COMUNALE DI VOLONTARIATO DI PROTEZIONE CIVILE DEL COMUNE DI ROVATO,ALTRI ENTI DEL TERZO SETTORE,BELOTTI,TIZIANO ALESSANDRO,I,BS,ROVATO,VIA LAMARMORA,AE,"VIA LAMARMORA,ROVATO,BS,I",45.5681525198967,9.99734096626807
